SampleID,Zip Code,Ward,Pb Bottle 1 (ppb) - First Draw,Pb Bottle 1 in mg/L,Pb Bottle 2 (ppb) - 45 secs flushing,Pb Bottle 2 in mg/L,Pb Bottle 3 (ppb) - 2 mins flushing,Pb Bottle 3 in mg/L,Notes
282,48507,9,1.633,0.001633,0.465,0.000465,0.238,0.00023799999999999998,
283,48503,7,1.114,0.0011140000000000002,0.605,0.000605,0.255,0.000255,
284,48503,7,3.9,0.0039,0.558,0.000558,0.504,0.000504,
285,48504,1,3.521,0.003521,0.45,0.00045,0.321,0.000321,
286,48507,9,3.832,0.003832,0.794,0.000794,0.339,0.000339,
287,48505,3,3.243,0.003243,0.738,0.0007379999999999999,0.27,0.00027,
289,48503,7,0.99,0.00099,0.25,0.00025,0.263,0.000263,
291,48506,3,2.261,0.002261,0.102,0.000102,0.407,0.00040699999999999997,
292,48503,4,16.99,0.016989999999999998,6.32,0.00632,3.585,0.003585,
293,48503,7,3.322,0.003322,2.559,0.002559,1.512,0.001512,
294,48506,4,14.33,0.01433,1.284,0.001284,0.323,0.000323,
296,48503,7,12.81,0.01281,7.874,0.007873999999999999,1.78,0.0017800000000000001,
298,48503,7,1.083,0.001083,0.322,0.000322,0.26,0.00026000000000000003,
300,48505,1,4.287,0.004287,4.345,0.004345,4.905,0.0049050000000000005,
